transaction_id,raw_address,unmatch_reason
none-union-avenue-unit-3c-brooklyn-ny-11211_58,"Union Avenue Unit 3C, Brooklyn, NY 11211",no exact match found
none-south-8th-street-unit-1a-brooklyn-ny-11211_58,"South 8th Street Unit 1A, Brooklyn, NY 11211",no exact match found
none-south-5th-street-unit-3-brooklyn-ny-11211_46,"South 5th Street Unit 3, Brooklyn, NY 11211",no exact match found
none-devoe-street-unit-na-brooklyn-ny-11211_46,"Devoe Street Unit NA, Brooklyn, NY 11211",no exact match found
none-manhattan-avenue-unit-4f-brooklyn-ny-11211_46,"Manhattan Avenue Unit 4F, Brooklyn, NY 11211",no exact match found
none-manhattan-avenue-unit-3f-brooklyn-ny-11211_46,"Manhattan Avenue Unit 3F, Brooklyn, NY 11211",no exact match found
none-union-avenue-unit-3c-brooklyn-ny-11211_46,"Union Avenue Unit 3C, Brooklyn, NY 11211",no exact match found
none-skillman-avenue-unit-4f-brooklyn-ny-11211_14,"Skillman Avenue Unit 4F, Brooklyn, NY 11211",no exact match found
none-jackson-street-unit-5-brooklyn-ny-11211_46,"Jackson Street Unit 5, Brooklyn, NY 11211",no exact match found
none-north-11th-street-unit-5r-brooklyn-ny-11211_46,"North 11th Street Unit 5R, Brooklyn, NY 11211",no exact match found
none-south-5th-street-unit-2-brooklyn-ny-11211_46,"South 5th Street Unit 2, Brooklyn, NY 11211",no exact match found
none-south-8th-street-unit-1a-brooklyn-ny-11211-0_46,"South 8th Street Unit 1A, Brooklyn, NY 11211",no exact match found
none-union-avenue-unit-206-brooklyn-ny-11211_46,"Union Avenue Unit 206, Brooklyn, NY 11211",no exact match found
none-skillman-avenue-unit-1-brooklyn-ny-11211_46,"Skillman Avenue Unit 1, Brooklyn, NY 11211",no exact match found
none-havemeyer-street-none-brooklyn-ny-11211_47,"Havemeyer Street NaN, Brooklyn, NY 11211",no exact match found
none-maspeth-avenue-unit-7c-brooklyn-ny-11211_47,"Maspeth Avenue Unit 7C, Brooklyn, NY 11211",no exact match found
none-north-7th-street-unit-phb-brooklyn-ny-11211_48,"North 7th Street Unit PHB, Brooklyn, NY 11211",no exact match found
none-withers-street-unit-2-brooklyn-ny-11211_48,"Withers Street Unit 2, Brooklyn, NY 11211",no exact match found
rplu-10325230448-174-north-6th-street-none-brooklyn-ny-11211_48,"174 North 6th Street NaN, Brooklyn, NY 11211",no exact match found
none-south-5th-street-unit-3-brooklyn-ny-11211_48,"South 5th Street Unit 3, Brooklyn, NY 11211",no exact match found
none-manhattan-avenue-unit-3r-brooklyn-ny-11211_48,"Manhattan Avenue Unit 3R, Brooklyn, NY 11211",no exact match found
none-jackson-street-unit-2-brooklyn-ny-11211_48,"Jackson Street Unit 2, Brooklyn, NY 11211",no exact match found
none-manhattan-avenue-unit-4f-brooklyn-ny-11211_48,"Manhattan Avenue Unit 4F, Brooklyn, NY 11211",no exact match found
none-manhattan-avenue-unit-3f-brooklyn-ny-11211_48,"Manhattan Avenue Unit 3F, Brooklyn, NY 11211",no exact match found
none-manhattan-avenue-none-brooklyn-ny-11211_48,"Manhattan Avenue NaN, Brooklyn, NY 11211",no exact match found
none-maspeth-avenue-unit-2d-brooklyn-ny-11211_48,"Maspeth Avenue Unit 2D, Brooklyn, NY 11211",no exact match found
none-grand-street-none-brooklyn-ny-11211_48,"Grand Street NaN, Brooklyn, NY 11211",no exact match found
none-north-11th-street-unit-4w-brooklyn-ny-11211_48,"North 11th Street Unit 4W, Brooklyn, NY 11211",no exact match found
none-havemeyer-street-unit-6a-brooklyn-ny-11211_48,"Havemeyer Street Unit 6A, Brooklyn, NY 11211",no exact match found
none-north-6th-street-unit-3-brooklyn-ny-11211_48,"North 6th Street Unit 3, Brooklyn, NY 11211",no exact match found
none-south-8th-street-unit-1a-brooklyn-ny-11211_48,"South 8th Street Unit 1A, Brooklyn, NY 11211",no exact match found
none-withers-street-unit-ph3-brooklyn-ny-11211_15,"Withers Street Unit PH3, Brooklyn, NY 11211",no exact match found
none-union-avenue-unit-5c-brooklyn-ny-11211_15,"Union Avenue Unit 5C, Brooklyn, NY 11211",no exact match found
none-skillman-avenue-unit-1-brooklyn-ny-11211_15,"Skillman Avenue Unit 1, Brooklyn, NY 11211",no exact match found
none-division-avenue-unit-16-brooklyn-ny-11211-0_15,"Division Avenue Unit 16, Brooklyn, NY 11211",no exact match found
none-north-8th-street-none-brooklyn-ny-11211_16,"North 8th Street NaN, Brooklyn, NY 11211",no exact match found
