id,raw_address,parsed_street_number,parsed_pre_directional,parsed_street_name,parsed_street_suffix,parsed_unit,normalized_address
none-north-6th-street-unit-1-brooklyn-ny-11211,North 6th Street Unit 1,,N,6th,ST,1,N 6TH ST APT 1
none-jackson-street-unit-1b-brooklyn-ny-11211,Jackson Street Unit 1B,,,Jackson,ST,1B,JACKSON ST APT 1B
none-74-jackson-street-unit-5-brooklyn-ny-11211,74 Jackson Street Unit 5,74,,Jackson,ST,5,74 JACKSON ST APT 5
none-union-avenue-unit-4d-5d-brooklyn-ny-11211,Union Avenue Unit 4D/5D,,,Union,AVE,4D5D,UNION AVE APT 4D5D
none-170-south-4th-street-none-brooklyn-ny-11211,170 South 4th Street NaN,170,S,4th,ST,,170 S 4TH ST
none-south-4th-street-unit-4a-brooklyn-ny-11211,South 4th Street Unit 4A,,S,4th,ST,4A,S 4TH ST APT 4A
none-north-10th-street-unit-3a-brooklyn-ny-11211,North 10th Street Unit 3A,,N,10th,ST,3A,N 10TH ST APT 3A
none-467-bedford-avenue-unit-6-brooklyn-ny-11211,467 Bedford Avenue Unit 6,467,,Bedford,AVE,6,467 BEDFORD AVE APT 6
none-444-humboldt-street-unit-2-brooklyn-ny-11211,444 Humboldt Street Unit 2,444,,Humboldt,ST,2,444 HUMBOLDT ST APT 2
none-147-hope-street-unit-3a-brooklyn-ny-11211,147 Hope Street Unit 3A,147,,Hope,ST,3A,147 HOPE ST APT 3A
none-union-avenue-none-brooklyn-ny-11211,Union Avenue NaN,,,Union,AVE,,UNION AVE
none-174-jackson-street-unit-2a-brooklyn-ny-11211,174 Jackson Street Unit 2A,174,,Jackson,ST,2A,174 JACKSON ST APT 2A
none-devoe-street-none-brooklyn-ny-11211,Devoe Street NaN,,,Devoe,ST,,DEVOE ST
none-308-north-7th-street-unit-4d-brooklyn-ny-11211,308 North 7th Street Unit 4D,308,N,7th,ST,4D,308 N 7TH ST APT 4D
none-705-driggs-avenue-unit-13-brooklyn-ny-11211,705 Driggs Avenue Unit 13,705,,Driggs,AVE,13,705 DRIGGS AVE APT 13
none-131-jackson-street-unit-phb-brooklyn-ny-11211,131 Jackson Street Unit PHB,131,,Jackson,ST,,131 JACKSON ST
none-154-south-3rd-street-unit-24-brooklyn-ny-11211,154 South 3rd Street Unit 24,154,S,3rd,ST,24,154 S 3RD ST APT 24
none-74-jackson-street-unit-1-brooklyn-ny-11211,74 Jackson Street Unit 1,74,,Jackson,ST,1,74 JACKSON ST APT 1
none-177-hooper-street-none-brooklyn-ny-11211,177 Hooper Street NaN,177,,Hooper,ST,,177 HOOPER ST
none-withers-street-unit-ph3-brooklyn-ny-11211,Withers Street Unit PH3,,,Withers,ST,PH3,WITHERS ST APT PH3
none-179-woodpoint-road-unit-2c-brooklyn-ny-11211,179 Woodpoint Road Unit 2C,179,,Woodpoint,,2C,179 WOODPOINT APT 2C
none-476-union-avenue-unit-ph5a-brooklyn-ny-11211,476 Union Avenue Unit PH5A,476,,Union,AVE,PH5A,476 UNION AVE APT PH5A
none-264-north-9th-street-none-brooklyn-ny-11211,264 North 9th Street NaN,264,N,9th,ST,,264 N 9TH ST
none-218-north-5th-street-none-brooklyn-ny-11211,218 North 5th Street NaN,218,N,5th,ST,,218 N 5TH ST
none-30-bayard-street-unit-5f-brooklyn-ny-11211,30 Bayard Street Unit 5F,30,,Bayard,ST,5F,30 BAYARD ST APT 5F
none-512-lorimer-street-none-brooklyn-ny-11211,512 Lorimer Street NaN,512,,Lorimer,ST,,512 LORIMER ST
none-bayard-street-unit-2d-brooklyn-ny-11211,Bayard Street Unit 2D,,,Bayard,ST,2D,BAYARD ST APT 2D
none-jackson-street-unit-2-brooklyn-ny-11211,Jackson Street Unit 2,,,Jackson,ST,2,JACKSON ST APT 2
none-manhattan-avenue-unit-4f-brooklyn-ny-11211,Manhattan Avenue Unit 4F,,,Manhattan,AVE,4F,MANHATTAN AVE APT 4F
none-manhattan-avenue-unit-3f-brooklyn-ny-11211,Manhattan Avenue Unit 3F,,,Manhattan,AVE,3F,MANHATTAN AVE APT 3F
none-726-metropolitan-avenue-unit-6-williamsburg-ny-11211,726 Metropolitan Avenue Unit 6,726,,Metropolitan,AVE,6,726 METROPOLITAN AVE APT 6
none-manhattan-avenue-none-brooklyn-ny-11211,Manhattan Avenue NaN,,,Manhattan,AVE,,MANHATTAN AVE
none-maspeth-avenue-unit-2d-brooklyn-ny-11211,Maspeth Avenue Unit 2D,,,Maspeth,AVE,2D,MASPETH AVE APT 2D
none-bayard-street-unit-3g-brooklyn-ny-11211,Bayard Street Unit 3G,,,Bayard,ST,3G,BAYARD ST APT 3G
none-grand-street-none-brooklyn-ny-11211,Grand Street NaN,,,Grand,ST,,GRAND ST
none-division-avenue-unit-16-brooklyn-ny-11211,Division Avenue Unit 16,,,Division,AVE,16,DIVISION AVE APT 16
none-skillman-avenue-unit-1a-brooklyn-ny-11211,Skillman Avenue Unit 1A,,,Skillman,AVE,1A,SKILLMAN AVE APT 1A
none-bushwick-avenue-unit-7b-brooklyn-ny-11211,Bushwick Avenue Unit 7B,,,Bushwick,AVE,7B,BUSHWICK AVE APT 7B
none-north-11th-street-unit-4w-brooklyn-ny-11211,North 11th Street Unit 4W,,N,11th,ST,4W,N 11TH ST APT 4W
none-havemeyer-street-unit-6a-brooklyn-ny-11211,Havemeyer Street Unit 6A,,,Havemeyer,ST,6A,HAVEMEYER ST APT 6A
none-96-woodpoint-road-unit-2c-brooklyn-ny-11211,96 Woodpoint Road Unit 2C,96,,Woodpoint,,2C,96 WOODPOINT APT 2C
none-128-woodpoint-road-unit-5-brooklyn-ny-11211,128 Woodpoint Road Unit 5,128,,Woodpoint,,5,128 WOODPOINT APT 5
none-153-south-4th-street-unit-5-williamsburg-ny-11211,153 South 4th Street Unit 5,153,S,4th,ST,5,153 S 4TH ST APT 5
none-north-6th-street-unit-3-brooklyn-ny-11211,North 6th Street Unit 3,,N,6th,ST,3,N 6TH ST APT 3
none-conselyea-street-unit-1-brooklyn-ny-11211,Conselyea Street Unit 1,,,Conselyea,ST,1,CONSELYEA ST APT 1
none-361-manhattan-avenue-unit-4a-brooklyn-ny-11211,361 Manhattan Avenue Unit 4A,361,,Manhattan,AVE,4A,361 MANHATTAN AVE APT 4A
none-30-bushwick-avenue-unit-6b-brooklyn-ny-11211,30 Bushwick Avenue Unit 6B,30,,Bushwick,AVE,6B,30 BUSHWICK AVE APT 6B
none-215-north-10th-street-unit-pha-brooklyn-ny-11211,215 North 10th Street Unit PHA,215,N,10th,ST,,215 N 10TH ST
none-237-ainslie-street-none-brooklyn-ny-11211,237 Ainslie Street NaN,237,,Ainslie,ST,,237 AINSLIE ST
none-139-skillman-avenue-unit-9a-brooklyn-ny-11211,139 Skillman Avenue Unit 9A,139,,Skillman,AVE,9A,139 SKILLMAN AVE APT 9A
none-south-5th-street-unit-c1-brooklyn-ny-11211,South 5th Street Unit C1,,S,5th,ST,C1,S 5TH ST APT C1
none-union-avenue-unit-3c-brooklyn-ny-11211,Union Avenue Unit 3C,,,Union,AVE,3C,UNION AVE APT 3C
none-bushwick-avenue-unit-6b-brooklyn-ny-11211,Bushwick Avenue Unit 6B,,,Bushwick,AVE,6B,BUSHWICK AVE APT 6B
none-323-south-5th-street-unit-3-brooklyn-ny-11211,323 South 5th Street Unit 3,323,S,5th,ST,3,323 S 5TH ST APT 3
none-bushwick-avenue-unit-4b-brooklyn-ny-11211,Bushwick Avenue Unit 4B,,,Bushwick,AVE,4B,BUSHWICK AVE APT 4B
none-30-bushwick-avenue-unit-5a-brooklyn-ny-11211,30 Bushwick Avenue Unit 5A,30,,Bushwick,AVE,5A,30 BUSHWICK AVE APT 5A
none-190-south-1st-street-unit-2b-brooklyn-ny-11211,190 South 1st Street Unit 2B,190,S,1st,ST,2B,190 S 1ST ST APT 2B
none-roebling-street-unit-1-brooklyn-ny-11211,Roebling Street Unit 1,,,Roebling,ST,1,ROEBLING ST APT 1
none-88-withers-street-unit-5e-brooklyn-ny-11211,88 Withers Street Unit 5E,88,,Withers,ST,5E,88 WITHERS ST APT 5E
none-70-conselyea-street-none-brooklyn-ny-11211,70 Conselyea Street NaN,70,,Conselyea,ST,,70 CONSELYEA ST
none-south-8th-street-unit-1a-brooklyn-ny-11211,South 8th Street Unit 1A,,S,8th,ST,1A,S 8TH ST APT 1A
none-850-metropolitan-avenue-unit-1e-brooklyn-ny-11211,850 Metropolitan Avenue Unit 1E,850,,Metropolitan,AVE,1E,850 METROPOLITAN AVE APT 1E
none-390-manhattan-avenue-unit-ph-brooklyn-ny-11211,390 Manhattan Avenue Unit PH,390,,Manhattan,AVE,,390 MANHATTAN AVE
none-217-north-11th-street-unit-1-brooklyn-ny-11211,217 North 11th Street Unit 1,217,N,11th,ST,1,217 N 11TH ST APT 1
none-217-219-devoe-street-none-brooklyn-ny-11211,217-219 Devoe Street NaN,217-219,,Devoe,ST,,217-219 DEVOE ST
none-222-withers-street-unit-2a-brooklyn-ny-11211,222 Withers Street Unit 2A,222,,Withers,ST,2A,222 WITHERS ST APT 2A
