transaction_id,matched_address_id,confidence_score,match_type
none-union-avenue-unit-5c-brooklyn-ny-11211,3018.0,0.6,phonetic
none-30-bushwick-avenue-unit-2a-brooklyn-ny-11211,12287.0,0.6,phonetic
none-185-withers-street-unit-4-brooklyn-ny-11211,28172.0,0.6,phonetic
none-185-withers-street-unit-3-brooklyn-ny-11211,578.0,0.6,phonetic
none-185-withers-street-unit-2-brooklyn-ny-11211,9994.0,0.6,phonetic
none-185-withers-street-unit-1-brooklyn-ny-11211,5199.0,0.6,phonetic
none-jackson-street-unit-3-brooklyn-ny-11211,2356.0,0.6,phonetic
none-woodpoint-road-unit-3-brooklyn-ny-11211,,,
none-union-avenue-unit-206-brooklyn-ny-11211,7046.0,0.6,phonetic
none-skillman-avenue-unit-1-brooklyn-ny-11211,13146.0,0.6,phonetic
none-38-devoe-street-none-brooklyn-ny-11211,1485.0,0.6,phonetic
none-250-manhattan-avenue-unit-2r-brooklyn-ny-11211,8466.0,0.6,phonetic
none-174-north-6th-street-unit-town-brooklyn-ny-11211,1281.0,0.6,phonetic
none-229-withers-street-unit-2d-brooklyn-ny-11211,4237.0,0.6,phonetic
none-229-withers-street-unit-2b-brooklyn-ny-11211,2158.0,0.6,phonetic
none-skillman-avenue-unit-2-brooklyn-ny-11211-0,262.0,0.6,phonetic
none-250-manhattan-avenue-unit-2r-brooklyn-ny-11211-0,8466.0,0.6,phonetic
none-390-broadway-none-brooklyn-ny-11211,19112.0,0.6,phonetic
none-390-broadway-none-williamsburg-ny-11211-0,19112.0,0.6,phonetic
none-bayard-street-unit-3g-brooklyn-ny-11211-0,2972.0,0.6,phonetic
none-north-11th-street-unit-5r-brooklyn-ny-11211-0,10662.0,0.6,phonetic
none-manhattan-avenue-none-brooklyn-ny-11211-0,199.0,0.6,phonetic
none-684-lorimer-street-none-brooklyn-ny-11211-0,1928.0,0.6,phonetic
none-woodpoint-road-unit-5-brooklyn-ny-11211,,,
none-woodpoint-road-unit-1-brooklyn-ny-11211-0,,,
none-139-jackson-street-unit-1b-brooklyn-ny-11211,9613.0,0.8482142686843872,fuzzy_prefix_block
none-224-north-6th-street-unit-3-brooklyn-ny-11211,8992.0,0.6,phonetic
none-south-5th-street-unit-2-brooklyn-ny-11211-0,1324.0,0.6,phonetic
none-skillman-avenue-unit-1a-brooklyn-ny-11211-0,5741.0,0.6,phonetic
none-bushwick-avenue-unit-2b-brooklyn-ny-11211-0,425.0,0.6,phonetic
none-south-5th-street-unit-c2-brooklyn-ny-11211,1162.0,0.6,phonetic
none-18-orient-avenue-none-brooklyn-ny-11211-0,3144.0,0.6,phonetic
none-north-8th-street-none-brooklyn-ny-11211-0,191.0,0.6,phonetic
none-skillman-avenue-unit-3-brooklyn-ny-11211-0,959.0,0.6,phonetic
none-jackson-street-unit-ph-brooklyn-ny-11211-0,22.0,0.6,phonetic
none-north-8th-street-unit-ph-brooklyn-ny-11211-0,191.0,0.6,phonetic
none-100-maspeth-avenue-unit-7c-brooklyn-ny-11211,10596.0,0.8712121248245239,fuzzy_prefix_block
none-128-woodpoint-road-unit-1-brooklyn-ny-11211,18731.0,0.7840908765792847,fuzzy_prefix_block
none-128-woodpoint-road-unit-2-brooklyn-ny-11211,3958.0,0.7513043880462646,fuzzy_prefix_block
none-74-jackson-street-unit-3-brooklyn-ny-11211,29402.0,0.6,phonetic
none-128-woodpoint-road-unit-2-brooklyn-ny-11211-0,3958.0,0.7513043880462646,fuzzy_prefix_block
none-128-woodpoint-road-unit-5-brooklyn-ny-11211,18731.0,0.7513043880462646,fuzzy_prefix_block
