transaction_id,matched_hhid,score
none-390-manhattan-avenue-unit-2-brooklyn-ny-11211,,0
none-union-avenue-unit-5c-brooklyn-ny-11211,,0
none-30-bushwick-avenue-unit-2a-brooklyn-ny-11211,,0
none-bedford-avenue-unit-8-brooklyn-ny-11211,,0
none-96-roebling-street-none-brooklyn-ny-11211,,0
none-212-north-9th-street-unit-3c-brooklyn-ny-11211,,0
none-170-north-11th-street-unit-3d-brooklyn-ny-11211,,0
none-74-jackson-street-unit-3a-brooklyn-ny-11211,,0
none-20-bayard-street-unit-11b-brooklyn-ny-11211,,0
none-976-metropolitan-avenue-unit-1b-brooklyn-ny-11211,,0
none-550-metropolitan-avenue-unit-commercial-brooklyn-ny-11211,,0
none-214-north-11th-street-unit-1l-brooklyn-ny-11211,,0
none-176-south-4th-street-unit-4a-brooklyn-ny-11211,,0
none-339-bedford-avenue-unit-8-brooklyn-ny-11211,,0
none-185-withers-street-unit-4-brooklyn-ny-11211,,0
none-190-south-1st-street-unit-4b-brooklyn-ny-11211,,0
none-185-withers-street-unit-2-brooklyn-ny-11211,,0
none-476-union-avenue-unit-4bb-brooklyn-ny-11211,,0
none-139-skillman-avenue-unit-8a-brooklyn-ny-11211,,0
none-185-withers-street-unit-1-brooklyn-ny-11211,,0
none-jackson-street-unit-3-brooklyn-ny-11211,,0
none-40-skillman-avenue-unit-3b-brooklyn-ny-11211,,0
none-108-withers-street-none-brooklyn-ny-11211,,0
none-390-broadway-none-williamsburg-ny-11211,,0
none-18-orient-avenue-none-brooklyn-ny-11211,,0
none-south-8th-street-unit-1a-brooklyn-ny-11211-0,,0
none-446-humboldt-street-none-brooklyn-ny-11211-0,,0
none-1-powers-street-unit-602-brooklyn-ny-11211-0,,0
none-150-north-5th-street-unit-1h-brooklyn-ny-11211,,0
none-128-woodpoint-road-unit-2-brooklyn-ny-11211-0,,0
none-108-withers-street-none-brooklyn-ny-11211-0,,0
none-323-south-5th-street-unit-4-brooklyn-ny-11211-0,,0
none-139-skillman-avenue-unit-7a-brooklyn-ny-11211,,0
none-145-conselyea-street-none-brooklyn-ny-11211,,0
none-30-devoe-street-unit-2b-brooklyn-ny-11211-0,,0
none-726-metropolitan-avenue-unit-6-williamsburg-ny-11211-0,,0
none-union-avenue-unit-206-brooklyn-ny-11211,,0
none-skillman-avenue-unit-1-brooklyn-ny-11211,,0
none-207-north-8th-street-unit-ph-brooklyn-ny-11211-0,,0
none-150-north-5th-street-unit-1h-brooklyn-ny-11211-0,,0
none-308-north-7th-street-unit-phb-brooklyn-ny-11211,,0
none-25-conselyea-street-unit-2-brooklyn-ny-11211,,0
none-234-powers-street-unit-6-williamsburg-ny-11211,,0
none-311-leonard-street-none-brooklyn-ny-11211,,0
none-76-richardson-street-unit-7-brooklyn-ny-11211,,0
none-739-grand-street-none-brooklyn-ny-11211,,0
none-38-skillman-avenue-unit-1-brooklyn-ny-11211,,0
none-250-manhattan-avenue-unit-2r-brooklyn-ny-11211,,0
none-230-south-2nd-street-none-williamsburg-ny-11211,,0
none-156-devoe-street-unit-1f-brooklyn-ny-11211,,0
none-170-south-1st-street-unit-2b-brooklyn-ny-11211,,0
none-296-manhattan-avenue-none-brooklyn-ny-11211-0,,0
none-174-north-6th-street-unit-town-brooklyn-ny-11211,,0
none-229-withers-street-unit-2d-brooklyn-ny-11211,,0
none-229-withers-street-unit-2b-brooklyn-ny-11211,,0
none-128-woodpoint-road-unit-1-brooklyn-ny-11211,,0
none-jackson-street-unit-ph-brooklyn-ny-11211,,0
none-240-powers-street-unit-6-brooklyn-ny-11211,,0
none-40-skillman-avenue-unit-3b-brooklyn-ny-11211-0,,0
none-526-union-avenue-unit-206-brooklyn-ny-11211-0,,0
none-550-metropolitan-avenue-unit-comm-brooklyn-ny-11211-0,,0
none-woodpoint-road-unit-5-brooklyn-ny-11211,,0
none-skillman-avenue-unit-2-brooklyn-ny-11211-0,,0
none-710-metropolitan-avenue-unit-5h-brooklyn-ny-11211,,0
none-250-manhattan-avenue-unit-2r-brooklyn-ny-11211-0,,0
none-171-north-1st-street-unit-4k-brooklyn-ny-11211,,0
none-38-skillman-avenue-unit-1-brooklyn-ny-11211-0,,0
none-woodpoint-road-unit-1-brooklyn-ny-11211-0,,0
none-96-woodpoint-road-unit-2c-brooklyn-ny-11211-0,,0
none-390-broadway-none-brooklyn-ny-11211,,0
none-72-richardson-street-unit-19-brooklyn-ny-11211-0,,0
none-390-broadway-none-williamsburg-ny-11211-0,,0
none-135-jackson-street-unit-1b-brooklyn-ny-11211-0,,0
none-bayard-street-unit-3g-brooklyn-ny-11211-0,,0
none-north-11th-street-unit-5r-brooklyn-ny-11211-0,,0
none-manhattan-avenue-none-brooklyn-ny-11211-0,,0
none-684-lorimer-street-none-brooklyn-ny-11211-0,,0
none-25-conselyea-street-unit-1-brooklyn-ny-11211,,0
none-bushwick-avenue-unit-7b-brooklyn-ny-11211-0,,0
none-550-metropolitan-avenue-unit-comm-brooklyn-ny-11211,,0
none-446-humboldt-street-none-brooklyn-ny-11211,,0
none-183-south-2nd-street-none-williamsburg-ny-11211,,0
none-415-bedford-avenue-unit-23a-brooklyn-ny-11211,,0
none-88-withers-street-unit-7d-brooklyn-ny-11211,,0
none-171-north-1st-street-unit-3k-brooklyn-ny-11211,,0
none-980-metropolitan-avenue-none-williamsburg-ny-11211,,0
none-72-richardson-street-unit-19-brooklyn-ny-11211,,0
none-526-union-avenue-unit-206-brooklyn-ny-11211,,0
none-549-metropolitan-avenue-unit-a-brooklyn-ny-11211,,0
none-224-north-6th-street-unit-3-brooklyn-ny-11211,,0
none-south-5th-street-unit-2-brooklyn-ny-11211-0,,0
none-skillman-avenue-unit-1a-brooklyn-ny-11211-0,,0
none-170-south-1st-street-unit-2b-brooklyn-ny-11211-0,,0
none-237-devoe-street-unit-1r-brooklyn-ny-11211-0,,0
none-156-devoe-street-unit-1f-brooklyn-ny-11211-0,,0
none-230-south-2nd-street-none-brooklyn-ny-11211,,0
none-100-maspeth-avenue-unit-7c-brooklyn-ny-11211,,0
none-bushwick-avenue-unit-2b-brooklyn-ny-11211-0,,0
none-south-5th-street-unit-c2-brooklyn-ny-11211,,0
